,batch_size,cell_type,char_embeddings_dim,char_embeddings_type,clean_f1,clean_n_predicted_entities,clean_n_true_entities,clean_precision,clean_recall,dropout_rate,embeddings_dropout,epochs,filter_width,learning_rate,learning_rate_decay,logging,n_filters,net_type,noise_level,noised_f1,noised_n_predicted_entities,noised_n_true_entities,noised_precision,noised_recall,token_embeddings_dim,use_batch_norm,use_capitalization,use_char_embeddins,use_crf
1,8,,25,cnn,41.06100795755968,1886,3769,61.55885471898197,30.8039267710268,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.005,51.362510322047896,925,1497,67.24324324324324,41.5497661990648,300,True,False,False,True
2,8,,25,cnn,39.723109691160815,1865,3769,60.0,29.689572830989654,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.01,49.2777548493603,926,1497,64.47084233261339,39.879759519038075,300,True,False,False,True
3,8,,25,cnn,38.75794986906098,1577,3769,65.69435637285986,27.487397187582914,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.015,48.34874504623514,774,1497,70.93023255813954,36.673346693386776,300,True,False,False,True
4,8,,25,cnn,39.57793409848205,1633,3769,65.46233925290876,28.3629609976121,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.02,47.664775207333044,794,1497,68.76574307304786,36.47294589178357,300,True,False,False,True
5,8,,25,cnn,39.01633327216003,1680,3769,63.273809523809526,28.203767577606794,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.025,45.741878841088685,781,1497,66.70934699103714,34.80293921175685,300,True,False,False,True
6,8,,25,cnn,40.13448947089011,1882,3769,60.255047821466526,30.08755638100292,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.03,45.50847457627119,863,1497,62.22479721900348,35.87174348697395,300,True,False,False,True
7,8,,25,cnn,40.31375410434148,1713,3769,64.5067133683596,29.318121517643938,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.035,47.33420026007803,810,1497,67.4074074074074,36.47294589178357,300,True,False,False,True
8,8,,25,cnn,39.401678219627875,1713,3769,63.047285464098074,28.65481560095516,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.04,44.84422992540588,782,1497,65.34526854219949,34.13493653974616,300,True,False,False,True
9,8,,25,cnn,40.369209334726584,1973,3769,58.743030917384694,30.750862297691697,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.045,45.63758389261744,887,1497,61.33032694475761,36.33934535738143,300,True,False,False,True
10,8,,25,cnn,40.12841091492776,1838,3769,61.20783460282916,29.84876625099496,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.05,43.30259112867808,780,1497,63.205128205128204,32.93253173012692,300,True,False,False,True
11,8,,25,cnn,37.71650759985861,1889,3769,56.48491265219693,28.309896524276997,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.060000000000000005,41.26297577854672,815,1497,58.52760736196319,31.86372745490982,300,True,False,False,True
12,8,,25,cnn,39.58445280315242,1814,3769,60.91510474090408,29.318121517643938,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.07,38.60444041685546,710,1497,60.0,28.45691382765531,300,True,False,False,True
13,8,,25,cnn,38.16713483146067,1927,3769,56.40892579138557,28.84054125762802,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.08000000000000002,40.034662045060664,811,1497,56.966707768187426,30.861723446893787,300,True,False,False,True
14,8,,25,cnn,35.558861818858105,1608,3769,59.45273631840796,25.36481825417883,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.09000000000000001,34.27495291902071,627,1497,58.05422647527911,24.315297261189045,300,True,False,False,True
15,8,,25,cnn,33.12785842115729,1260,3769,66.11111111111111,22.101353144070046,0.5,True,5,7,0.005,0.707,False,"[128, 128]",cnn,0.1,30.401626842907977,470,1497,63.61702127659574,19.97327989311957,300,True,False,False,True
