,batch_size,char_embeddings_dim,clean_f1,clean_n_predicted_entities,clean_n_true_entities,clean_precision,clean_recall,dropout_rate,embeddings_dropout,epochs,filter_width,learning_rate,learning_rate_decay,n_filters,net_type,noise_level,noised_f1,noised_n_predicted_entities,noised_n_true_entities,noised_precision,noised_recall,token_embeddings_dim,use_batch_norm,use_capitalization,use_crf
0,8,25,85.56869881710645,5342,5648,88.01946836390864,83.25070821529745,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.0,85.55312954876273,5344,5648,87.98652694610779,83.25070821529745,300,True,False,True
1,8,25,85.75302838546374,5414,5648,87.60620613224972,83.97662889518413,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.005,84.72523499638466,5416,5648,86.53988183161005,82.98512747875354,300,True,False,True
2,8,25,85.53299492385787,5384,5648,87.63001485884101,83.53399433427762,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.01,83.8985362305664,5351,5648,86.22687348159222,81.69263456090651,300,True,False,True
3,8,25,85.3640687888767,5284,5648,88.30431491294473,82.61331444759207,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.015,82.5754081726778,5193,5648,86.19295205083766,79.24929178470255,300,True,False,True
4,8,25,84.90842490842492,5272,5648,87.93626707132019,82.08215297450425,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.02,82.21482713995192,5170,5648,86.01547388781431,78.73583569405099,300,True,False,True
5,8,25,85.09225092250922,5192,5648,88.82896764252696,81.65722379603399,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.025,81.14371145580265,5054,5648,85.91214879303521,76.87677053824362,300,True,False,True
6,8,25,84.59347726228755,5237,5648,87.91292724842467,81.51558073654391,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.03,80.68926765311855,5030,5648,85.64612326043738,76.27478753541077,300,True,False,True
7,8,25,84.66831819432976,5251,5648,87.86897733764997,81.69263456090651,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.035,79.98135198135196,5077,5648,84.47902304510538,75.93838526912181,300,True,False,True
8,8,25,83.54105571847508,5264,5648,86.58814589665654,80.70113314447592,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.04,78.44891871737508,5080,5648,82.83464566929133,74.5042492917847,300,True,False,True
9,8,25,83.82515676872003,5196,5648,87.47113163972287,80.47096317280453,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.045,78.40994724943481,4968,5648,83.77616747181965,73.68980169971671,300,True,False,True
10,8,25,83.96512161541992,5247,5648,87.17362302267962,80.98441926345609,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.05,77.80920060331826,4960,5648,83.20564516129032,73.0701133144476,300,True,False,True
11,8,25,84.04088774288608,5211,5648,87.56476683937824,80.78966005665723,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.060000000000000005,76.59088747265291,4865,5648,82.75436793422405,71.28186968838527,300,True,False,True
12,8,25,83.28133602495872,5250,5648,86.43809523809524,80.34702549575071,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.07,75.32099697885195,4944,5648,80.6836569579288,70.62677053824362,300,True,False,True
13,8,25,83.24001493094438,5068,5648,88.00315706393054,78.96600566572238,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.08000000000000002,74.01497241922775,4504,5648,83.41474245115452,66.51912181303116,300,True,False,True
14,8,25,82.39561052729469,5105,5648,86.77766895200783,78.43484419263456,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.09000000000000001,72.98011947899325,4563,5648,81.65680473372781,65.97025495750708,300,True,False,True
15,8,25,82.05703599812996,5047,5648,86.94273826035268,77.69121813031161,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.1,71.58145065398334,4444,5648,81.27812781278128,63.95184135977337,300,True,False,True
16,8,25,81.84261748076746,5141,5648,85.8782338066524,78.16926345609065,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.11000000000000001,70.69271758436945,4486,5648,79.84841729826125,63.420679886685555,300,True,False,True
17,8,25,81.38188608776844,5062,5648,86.09245357566179,77.16005665722379,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.12000000000000001,69.6068648972261,4374,5648,79.74394147233653,61.756373937677054,300,True,False,True
18,8,25,80.65622393178236,5141,5648,84.6333398171562,77.03611898016997,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.13,67.82,4352,5648,77.91819852941177,60.038951841359776,300,True,False,True
19,8,25,81.06878908470722,4906,5648,87.19934773746434,75.74362606232295,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.14,66.6526581214541,3870,5648,81.96382428940568,56.1614730878187,300,True,False,True
20,8,25,80.78041459525372,5013,5648,85.89666866148015,76.23937677053824,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.15000000000000002,66.20817080681584,4094,5648,78.77381533952125,57.09985835694051,300,True,False,True
21,8,25,79.76157213374313,5089,5648,84.14226763607782,75.81444759206799,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.16000000000000003,64.6443943431031,4110,5648,76.7396593673966,55.842776203966004,300,True,False,True
22,8,25,78.94049617608654,5074,5648,83.40559716200237,74.92917847025495,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.17000000000000004,62.99814164773901,4038,5648,75.55720653789004,54.01912181303116,300,True,False,True
23,8,25,78.50414995803415,5075,5648,82.93596059113301,74.52195467422096,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.18000000000000005,62.97208538587849,4096,5648,74.90234375,54.32011331444759,300,True,False,True
