,batch_size,char_embeddings_dim,clean_f1,clean_n_predicted_entities,clean_n_true_entities,clean_precision,clean_recall,dropout_rate,embeddings_dropout,epochs,filter_width,learning_rate,learning_rate_decay,n_filters,net_type,noise_level,noised_f1,noised_n_predicted_entities,noised_n_true_entities,noised_precision,noised_recall,token_embeddings_dim,use_batch_norm,use_capitalization,use_crf
0,8,25,80.8029878618114,5062,5648,85.48004741209009,76.61118980169972,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.005,79.66244725738396,5017,5648,84.6721148096472,75.21246458923513,300,True,False,True
1,8,25,80.60491493383743,4932,5648,86.45579886455799,75.4957507082153,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.01,79.12820024745407,4859,5648,85.55258283597448,73.60127478753542,300,True,False,True
2,8,25,81.55124653739612,5182,5648,85.21806252412196,78.18696883852691,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.025,77.75714816190123,5124,5648,81.73302107728337,74.15014164305948,300,True,False,True
3,8,25,80.8641975308642,5044,5648,85.70578905630452,76.54036827195468,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.05,75.28370840546259,4750,5648,82.4,69.29886685552408,300,True,False,True
4,8,25,81.06293706293707,5077,5648,85.62142997833367,76.96529745042493,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.075,72.78493177013262,4758,5648,79.59226565783943,67.05028328611898,300,True,False,True
5,8,25,81.0173929306153,5046,5648,85.85017835909632,76.69971671388102,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.1,71.52722967640095,4488,5648,80.77094474153297,64.18201133144476,300,True,False,True
6,8,25,81.09204943737318,5194,5648,84.63611859838275,77.8328611898017,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.125,69.24398625429554,4828,5648,75.12427506213753,64.21742209631728,300,True,False,True
7,8,25,80.00745642650759,5081,5648,84.47156071639441,75.9915014164306,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.15,67.81200631911533,4480,5648,76.65178571428571,60.80028328611898,300,True,False,True
8,8,25,79.13334573182071,5106,5648,83.33333333333333,75.33640226628896,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.175,65.30812187714314,4559,5648,73.10813774950647,59.01203966005666,300,True,False,True
9,8,25,78.73057479872683,5034,5648,83.53198251887167,74.45113314447592,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.2,64.84184914841849,4216,5648,75.85388994307401,56.62181303116147,300,True,False,True
10,8,25,80.31002029894815,5190,5648,83.85356454720616,77.05382436260624,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.0,80.29170128311641,5185,5648,83.87656702025072,77.00070821529745,300,True,False,True
