,batch_size,cell_type,char_embeddings_dim,char_embeddings_type,clean_f1,clean_n_predicted_entities,clean_n_true_entities,clean_precision,clean_recall,dropout_rate,embeddings_dropout,epochs,filter_width,learning_rate,learning_rate_decay,n_filters,net_type,noise_level,noised_f1,noised_n_predicted_entities,noised_n_true_entities,noised_precision,noised_recall,token_embeddings_dim,use_batch_norm,use_capitalization,use_char_embeddins,use_crf
0,8,,25,cnn,5.7441253263707575,46,720,47.82608695652174,3.0555555555555554,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.0,5.7441253263707575,46,720,47.82608695652174,3.0555555555555554,300,True,False,False,True
1,8,,25,cnn,13.701236917221692,331,720,21.75226586102719,10.0,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.005,12.737642585551331,332,720,20.180722891566266,9.305555555555555,300,True,False,False,True
2,8,,25,cnn,2.9177718832891246,34,720,32.35294117647059,1.5277777777777777,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.01,3.1830238726790454,34,720,35.294117647058826,1.6666666666666667,300,True,False,False,True
3,8,,25,cnn,11.40250855188141,157,720,31.847133757961778,6.944444444444443,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.015,9.334889148191367,137,720,29.197080291970803,5.555555555555556,300,True,False,False,True
4,8,,25,cnn,19.63775023832221,329,720,31.306990881458965,14.305555555555555,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.02,18.199419167473376,313,720,30.031948881789138,13.055555555555555,300,True,False,False,True
5,8,,25,cnn,5.90318772136954,127,720,19.68503937007874,3.4722222222222223,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.025,5.463182897862233,122,720,18.85245901639344,3.1944444444444446,300,True,False,False,True
6,8,,25,cnn,16.238437821171633,253,720,31.22529644268775,10.972222222222221,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.03,14.71215351812367,218,720,31.651376146788994,9.583333333333334,300,True,False,False,True
7,8,,25,cnn,3.4620505992010653,31,720,41.935483870967744,1.8055555555555556,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.035,2.1390374331550803,28,720,28.571428571428573,1.1111111111111112,300,True,False,False,True
8,8,,25,cnn,15.658362989323843,123,720,53.65853658536586,9.166666666666666,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.04,10.90458488228005,87,720,50.57471264367816,6.111111111111111,300,True,False,False,True
9,8,,25,cnn,7.086614173228346,42,720,64.28571428571429,3.75,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.045,3.508771929824561,21,720,61.904761904761905,1.8055555555555556,300,True,False,False,True
