,batch_size,char_embeddings_dim,char_embeddings_type,clean_f1,clean_n_predicted_entities,clean_n_true_entities,clean_precision,clean_recall,dropout_rate,embeddings_dropout,epochs,filter_width,learning_rate,learning_rate_decay,n_filters,net_type,noise_level,noised_f1,noised_n_predicted_entities,noised_n_true_entities,noised_precision,noised_recall,token_embeddings_dim,use_batch_norm,use_capitalization,use_char_embeddins,use_crf
0,8,25,cnn,58.96551724137931,1746,2894,78.35051546391753,47.27021423635107,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.0,59.02628177509695,1748,2894,78.37528604118994,47.339322736696616,300,True,False,True,True
1,8,25,cnn,58.34592960483697,1737,2894,77.77777777777777,46.682791983413956,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.005,57.680657723929045,1728,2894,77.14120370370371,46.06081548030408,300,True,False,True,True
2,8,25,cnn,57.10394916023604,1512,2894,83.2010582010582,43.46924671734623,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.01,55.881006864988564,1476,2894,82.72357723577235,42.1907394609537,300,True,False,True,True
3,8,25,cnn,57.960253330421494,1685,2894,78.75370919881306,45.85348997926745,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.015,55.368234250221825,1614,2894,77.32342007434944,43.123704215618524,300,True,False,True,True
4,8,25,cnn,55.87757941108278,1419,2894,84.91895701198027,41.63787145818936,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.02,53.20754716981131,1346,2894,83.8038632986627,38.97719419488597,300,True,False,True,True
5,8,25,cnn,57.09258851990324,1653,2894,78.52389594676346,44.851416724257085,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.025,54.16293643688451,1574,2894,76.87420584498093,41.81064270905321,300,True,False,True,True
6,8,25,cnn,56.442264823896565,1592,2894,79.52261306532664,43.7456807187284,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.03,52.22551928783384,1487,2894,76.9334229993275,39.530062197650324,300,True,False,True,True
7,8,25,cnn,56.24301987938352,1583,2894,79.53253316487681,43.503800967519005,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.035,51.53686156690548,1433,2894,77.80879274249826,38.52798894263995,300,True,False,True,True
8,8,25,cnn,54.85740783677255,1419,2894,83.36856941508104,40.87767795438839,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.04,49.69726325986922,1235,2894,83.07692307692308,35.4526606772633,300,True,False,True,True
9,8,25,cnn,55.522001725625536,1742,2894,73.88059701492537,44.471319972356596,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.045,50.52443650970765,1587,2894,71.32955261499684,39.11541119557705,300,True,False,True,True
10,8,25,cnn,53.521126760563384,1508,2894,78.11671087533156,40.704906703524536,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.05,47.51012628067667,1303,2894,76.51573292402149,34.45058742225294,300,True,False,True,True
11,8,25,cnn,53.22841934737329,1427,2894,80.58864751226349,39.73738769868694,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.060000000000000005,45.39457610554605,1199,2894,77.4812343619683,32.10089841050449,300,True,False,True,True
12,8,25,cnn,51.85185185185185,1372,2894,80.61224489795919,38.217000691085005,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.07,43.81379138660692,1123,2894,78.36153161175423,30.407740152038702,300,True,False,True,True
13,8,25,cnn,51.350716466995536,1363,2894,80.1907556859868,37.76779543883898,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.08000000000000002,41.93386773547095,1098,2894,76.22950819672131,28.921907394609537,300,True,False,True,True
14,8,25,cnn,52.45748893547635,1399,2894,80.48606147248034,38.908085694540425,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.09000000000000001,41.863942187889364,1119,2894,75.06702412868633,29.02557014512785,300,True,False,True,True
15,8,25,cnn,49.879865449303225,1268,2894,81.86119873817034,35.86731167933656,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.1,40.75780849974398,1012,2894,78.65612648221344,27.505183137525915,300,True,False,True,True
16,8,25,cnn,45.55526926049988,987,2894,89.56433637284701,30.545957152729788,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.11000000000000001,33.92265193370166,726,2894,84.57300275482093,21.21630960608155,300,True,False,True,True
17,8,25,cnn,47.65853658536585,1206,2894,81.01160862354892,33.75950241879751,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.12000000000000001,36.66232073011734,941,2894,74.7077577045696,24.29163787145819,300,True,False,True,True
18,8,25,cnn,47.72170504654581,1188,2894,81.98653198653199,33.6558396682792,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.13,34.8979050649695,877,2894,75.0285062713797,22.736696613683485,300,True,False,True,True
19,8,25,cnn,44.35318275154004,1002,2894,86.22754491017965,29.85487214927436,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.14,32.19084178777077,753,2894,77.95484727755644,20.283344851416725,300,True,False,True,True
20,8,25,cnn,38.58887381275441,791,2894,89.88621997471554,24.56807187284036,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.15000000000000002,28.620788943276708,579,2894,85.83765112262522,17.173462335867313,300,True,False,True,True
21,8,25,cnn,41.8280402788536,979,2894,82.73748723186925,27.988942639944714,0.5,True,5,7,0.005,0.707,"[128, 128]",cnn,0.16000000000000003,31.6079295154185,738,2894,77.77777777777777,19.834139599170697,300,True,False,True,True
